songname1,artist1,songname2,artist2,works
Money Trees,"['Kendrick Lamar', 'Jay Rock']",Shaheedo Tumko Mera Salam,['Mohammed Rafi'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Jumpin' Jack Flash,['Ananda Shankar'],1

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Start,['Frank Ocean'],1

Money Trees,"['Kendrick Lamar', 'Jay Rock']",What We All Want,['Gang Of Four'],1

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Cold Feet,['Lefty Frizzell'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']","Manon Lescaut, Act II:""Dunque questra lettiga? - Tu, tu, amore? Tu?""","['Giacomo Puccini', 'Richard Tucker', 'Dorothy Kirsten', 'Fausto Cleva']",0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Another Part of Me - 2012 Remaster,['Michael Jackson'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Jo Jo Gunne,['Chuck Berry'],1

Money Trees,"['Kendrick Lamar', 'Jay Rock']",O Holy Night,['Martina McBride'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']","Yeh Zindagi Usiki Hai, Pt. 2",['Lata Mangeshkar'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Strange Meadow Lark,['The Dave Brubeck Quartet'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Sleeping Single In A Double Bed,['Barbara Mandrell'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Jab Dard Ka Kissa Ham Duniya Ko,['Mohantara Talpade'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Apano Se Trikorfo Vouno,['Marika Papagkika'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",I Wanna Stay Home,['Randy Cade'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",I duckinf hatw you,"['Ghostemane', 'Parv0']",0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Woke Up This Morning,['Freddie King'],1

Money Trees,"['Kendrick Lamar', 'Jay Rock']",O Grande Amor,"['Stan Getz', 'João Gilberto Quintet', 'Antônio Carlos Jobim']",0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Nothin' But A Good Time - Remastered 2006,['Poison'],1

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Lonely Girl,['Dorothy Ashby'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Cherry,['Lana Del Rey'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Beer Barrel Polka,['Jack Teagarden And His Orchestra'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Nova Scotia Farewell,['Ian & Sylvia'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Humming,['Portishead'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Gangsta's Paradise (Re-Recorded Version),['Coolio'],1

Money Trees,"['Kendrick Lamar', 'Jay Rock']",If I Can't Change Your Mind,['Sugar'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']","Das ist bei uns nicht möglich, Kapitel 158","['Sinclair Lewis', 'Frank Arnold']",0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Two For The Price Of One,['ABBA'],1

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Mi Vida Loca,['Pam Tillis'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",The Super-Natural,['John Mayall & The Bluesbreakers'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Haitian Drums,['Unspecified'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Shot Clock,['Ella Mai'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",If We Wait,['Guided By Voices'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Mambo Inn,['Tito Puente'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Take It Easy,['Archie James Cavanaugh'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']","Sinfonia No. 6 in E Major, BWV 792 - Remastered","['Johann Sebastian Bach', 'Claudio Arrau']",0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",You Took My Breath Away,['Traveling Wilburys'],1

Money Trees,"['Kendrick Lamar', 'Jay Rock']",You Raise Me Up,['Selah'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Summertime,['Doc & Merle Watson'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Kapitel 343 - Der Page und die Herzogin,"['Georgette Heyer', 'Irina Salkow']",0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Athi Mudadali,"['Kamala Bai', 'M. V. Subbaiah Naidu']",0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",I Hate Love,['Bnny Rbbt'],1

Money Trees,"['Kendrick Lamar', 'Jay Rock']",A Little Bit of Abuse,['The Kinks'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Take It to da House,['Trick Daddy'],1

Money Trees,"['Kendrick Lamar', 'Jay Rock']",African Friend,['Jimmy Buffett'],1

Money Trees,"['Kendrick Lamar', 'Jay Rock']","Que Sera, Sera (Whatever Will Be, Will Be)",['Sly & The Family Stone'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",The South's Gonna Do It Again,['Charlie Daniels'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Hawaii Five-O,['The Ventures'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Adrenaline,['Rosetta Stone'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Love For Sale,['Don Shirley'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Bellaquita - Remix,"['Dalex', 'Lenny Tavárez', 'Anitta', 'Natti Natasha', 'Farruko', 'Justin Quiles']",0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Through the Valleys,['Jeremy Soule'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Cuts Like A Knife,['Bryan Adams'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Vertigo/Relight My Fire,['Dan Hartman'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Simplemente Una IlusiÃ³n,"['Gilberto Monroig', 'Orquesta De Radhames Reyes Alfau']",0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",The Great Commandment,['Camouflage'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",With Open Arms,['Rachelle Ferrell'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Countdown,['John Coltrane'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']","Carnival Overture, Op. 92","['AntonÃ­n DvoÅÃ¡k', 'Leonard Bernstein', 'New York Philharmonic']",0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Put That on Everything,['Brandy'],1

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Kyon Dil Ki Kali Muskayee,"['Shamshad Begum', 'A. R. Ojha']",0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Same Damn Life,['Seether'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Anchors Aweigh,"['Charles Zimmerman', 'Mormon Tabernacle Choir']",0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",My Baby Just Cares for Me - 2013 Remastered Version,['Nina Simone'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",White Horse,['Taylor Swift'],1

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Haar Gai Neha Lagaye,['Shamshad Begum'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Kapitel 136 - Der Page und die Herzogin,"['Georgette Heyer', 'Irina Salkow']",0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Asi Se Baila el Tango - Remasterizado,"['Francisco Canaro', 'Carlos RoldÃ¡n']",0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Petit pays,['CesÃ¡ria Evora'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']","Less of Me - Live at San Quentin State Prison, San Quentin, CA - February 1969",['The Statler Brothers'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Numbers Game - Instrumental,"['Hampton Hawes', 'Harold Land', 'Scott LaFaro', 'Frank Butler']",0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Rosalyn,['The Pretty Things'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",For Whom The Bell Tolls - Live with the SFSO,['Metallica'],1

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Swing Down Sweet Chariot,['Elvis Presley'],1

Money Trees,"['Kendrick Lamar', 'Jay Rock']",I Am The Other Man,['Cecilio & Kapono'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Frisky,['Sly & The Family Stone'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",DanÃ§as Regionais Paulistas - Cururu e Caninha Verde,"['CornÃ©lio Pires', 'Pedro Massa']",0

Money Trees,"['Kendrick Lamar', 'Jay Rock']","Puccini: Tosca, Act 3: ""Mario Cavaradossi?"" (Jailer, Cavaradossi)","['Giacomo Puccini', 'Dario Caselli/Giuseppe di Stefano/Orchestra del Teatro alla Scala, Milano/Victor de Sabata', 'Victor de Sabata', 'Orchestra Del Teatro Alla Scala, Milano']",0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Eres Una En Un MillÃ³n - Radio Edit,['Up4'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Last Night on Earth,['Green Day'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Used To,"['Drake', 'Lil Wayne']",1

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Cuento Criollo - Remasterizado,"['Francisco Canaro', 'Charlo']",0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Won't Be Hangin' Around,['Albert King'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Telescope,['Cage The Elephant'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Angel in Blue Jeans,['Train'],1

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Woo Hoo,"[""The 5.6.7.8's""]",1

Money Trees,"['Kendrick Lamar', 'Jay Rock']","Don Giovanni, K. 527, Act II: Leporello! Signore? (Live)","['Wolfgang Amadeus Mozart', 'Cesare Siepi', 'Otto Edelmann', 'Wiener Philharmoniker', 'Wilhelm FurtwÃ¤ngler']",0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Ne KÃ¼stÃ¼n Bisebep Ãyle,['Safiye Ayla'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",100 Yard Dash,['Raphael Saadiq'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Brindavan Ki Mangal Leela,['M. S. Subbulakshmi'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']","Nocturne No. 13 in B Minor, Op. 119","['Gabriel FaurÃ©', 'Vladimir Horowitz']",0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",World War,['The Cure'],1

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Recognize,"['Warren G', 'The Twinz']",0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Mustapha,['Queen'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Je Ne Bois Pas Beaucoup,['Les Ya Toupas Du Zaire'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",PerdÃ³name Mi Amor,['Conjunto Primavera'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Mississippi Mud,['Dean Martin'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",El Musico Es Como El Marinero,['Los Iracundos'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",You Make Me Wanna Die,['The Shivas'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Moi je joue,['Brigitte Bardot'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Norman's Blues,['Sonny Stitt'],1

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Long Division,['Fugazi'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Dusk at the Market,['Jeremy Soule'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']","Next Time, This Time",['Jim Croce'],0

Start,['Frank Ocean'],Kanuda Tari Morliye,['Geeta Dutt'],0

Start,['Frank Ocean'],Armatage Shanks,['Green Day'],0

Start,['Frank Ocean'],Forever And For Always - Pop Red Edit,['Shania Twain'],0

Start,['Frank Ocean'],The Sprawl (Album Version),['Sonic Youth'],0

Start,['Frank Ocean'],I Don't Know Why (I Just Do),['Dean Martin'],0

Start,['Frank Ocean'],I've Loved These Days,['Billy Joel'],1

Start,['Frank Ocean'],Kingdom Hall - Remastered,['Van Morrison'],0

Start,['Frank Ocean'],Trip at the Brain,['Suicidal Tendencies'],0

Start,['Frank Ocean'],Personally,['Karla Bonoff'],0

Start,['Frank Ocean'],Shuffle Boil (Retake),['Thelonious Monk'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",La Sanlorencina (Cueca),"['Pepa Cardona', 'Los Provincianos']",0

Money Trees,"['Kendrick Lamar', 'Jay Rock']","Quizas, Quizas, Quizas (Perhaps, Perhaps, Perhaps)",['Ben E. King'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']","No Ties - 10"" LP Take","['Chet Baker Quartet', 'Russ Freeman']",0

Money Trees,"['Kendrick Lamar', 'Jay Rock']","Sonata No. 2, BWV 1003, in A Minor: Allegro","['Johann Sebastian Bach', 'Jascha Heifetz']",0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Dizzy's Blues - Live,['Dizzy Gillespie'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Ð§Ð°ÑÑÑ 167.4 & Ð§Ð°ÑÑÑ 168.1 - Ð¢ÑÐ¸ÑÐ¼ÑÐ°Ð»ÑÐ½Ð°Ñ Ð°ÑÐºÐ°,['Ð­ÑÐ¸Ñ ÐÐ°ÑÐ¸Ñ Ð ÐµÐ¼Ð°ÑÐº'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Unfoolish,['Ashanti'],1

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Lemonade,['Tay-K'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",When It Rains It Pours,['Luke Combs'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Tot ce-i romÃ¢nesc nu piere,['Jean Moscopol'],0

You Raise Me Up,['Josh Groban'],El meneÃ­to,['Los Tigrillos'],0

You Raise Me Up,['Josh Groban'],Dangerous,['The Doobie Brothers'],0

You Raise Me Up,['Josh Groban'],We Had To Tear This Mothafucka Up,['Ice Cube'],0

You Raise Me Up,['Josh Groban'],Blueberry Faygo,['Lil Mosey'],0

You Raise Me Up,['Josh Groban'],Tundra/Desert,['Modest Mouse'],1

You Raise Me Up,['Josh Groban'],Little Girl - Mono,['John Mayall & The Bluesbreakers'],0

You Raise Me Up,['Josh Groban'],All Is Found - Kacey Musgraves Version,['Kacey Musgraves'],0

You Raise Me Up,['Josh Groban'],Soul Man,['Sam & Dave'],0

You Raise Me Up,['Josh Groban'],Sur ma vie,['Charles Aznavour'],0

You Raise Me Up,['Josh Groban'],Bugatti,"['Ace Hood', 'Future', 'Rick Ross']",1

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Jumper - 1998 Edit,['Third Eye Blind'],1
Money Trees,"['Kendrick Lamar', 'Jay Rock']","Reason To Believe - Live at Meadowlands Arena, E. Rutherford, NJ - August 1984",['Bruce Springsteen'],0
Money Trees,"['Kendrick Lamar', 'Jay Rock']",Endless Alleluia,['Cory Asbury'],0
Money Trees,"['Kendrick Lamar', 'Jay Rock']",Quiero Charlar Con La Muerte,['ValentÃ­n Elizalde'],0
Money Trees,"['Kendrick Lamar', 'Jay Rock']",Latter Day Saint - Alternate Take 1,['Jimmy Knepper Quintet'],0
Money Trees,"['Kendrick Lamar', 'Jay Rock']",Yaaro Yeh Jo Duniya,['Mohammed Rafi'],0
Money Trees,"['Kendrick Lamar', 'Jay Rock']",Puke and Cry,['Dinosaur Jr.'],0
Money Trees,"['Kendrick Lamar', 'Jay Rock']",Homebase,['Dzihan & Kamien'],0
Money Trees,"['Kendrick Lamar', 'Jay Rock']","Moves Like an Ape, Looks Like a Man","['Mark Mancina', 'Phil Collins']",0
Money Trees,"['Kendrick Lamar', 'Jay Rock']",D.E.E.P.,['OutKast'],0
Cherry,['The Big Aces'],Mercury Blues,['K.C. Douglas'],0
Cherry,['The Big Aces'],You Can Sing a Rainbow,['Nina Simone'],1
Cherry,['The Big Aces'],You And Me,['The Moody Blues'],0
Cherry,['The Big Aces'],Silent Night,['Carpenters'],0
Cherry,['The Big Aces'],Lookin' For A Reason,['Creedence Clearwater Revival'],0
Cherry,['The Big Aces'],Smoke and Ashes,['Tracy Chapman'],0
Cherry,['The Big Aces'],Wanna Be Close To You,['Rene & Angela'],0
Cherry,['The Big Aces'],How Do I Know,"['Andrew Rayel', 'Jano']",0
Cherry,['The Big Aces'],Misty,['Marty Robbins'],0
Cherry,['The Big Aces'],Heart Of Glass - Special Mix,['Blondie'],0
Cherry,['The Big Aces'],Far Too Young to Die,['Panic! At The Disco'],1
Cherry,['The Big Aces'],Call Off The Bells,['The Early November'],0
Cherry,['The Big Aces'],L'Eventail de Jeane - Pastourelle (Remastered),"['Francis Poulenc', 'Oscar Levant']",0
